broadband_robust_z,classification,confidence,confidence_score,frame_30fps,kick_ratio,low_band_robust_z,snare_band_robust_z,snare_ratio,source,time_ms
7.648,snare,high,0.95,4583,0.147,1.149,6.681,0.853,MIXED_MASTER_ONLY,152780
7.461,snare,high,0.95,4607,0.249,2.434,7.361,0.751,MIXED_MASTER_ONLY,153580
7.155,snare,high,0.95,4619,0.277,2.602,6.804,0.723,MIXED_MASTER_ONLY,153980
8.184,snare,high,0.95,4631,0.242,2.219,6.942,0.758,MIXED_MASTER_ONLY,154380
7.135,snare,high,0.95,4643,0.28,2.561,6.595,0.72,MIXED_MASTER_ONLY,154780
6.411,snare,high,0.95,4649,0.265,2.297,6.364,0.735,MIXED_MASTER_ONLY,154980
4.457,snare,high,0.95,4656,0.252,1.339,3.975,0.748,MIXED_MASTER_ONLY,155190
2.868,snare,high,0.95,4662,0.0,-0.145,3.53,1.0,MIXED_MASTER_ONLY,155390
7.018,snare,high,0.95,4667,0.236,2.258,7.315,0.764,MIXED_MASTER_ONLY,155580
8.679,snare,high,0.95,4679,0.164,1.596,8.143,0.836,MIXED_MASTER_ONLY,155980
3.811,snare,high,0.95,4685,0.065,0.281,4.047,0.935,MIXED_MASTER_ONLY,156180
7.428,snare,high,0.95,4703,0.244,2.44,7.563,0.756,MIXED_MASTER_ONLY,156780
6.506,snare,high,0.95,4715,0.269,2.381,6.47,0.731,MIXED_MASTER_ONLY,157180
7.919,snare,high,0.95,4727,0.128,1.042,7.071,0.872,MIXED_MASTER_ONLY,157580
6.995,snare,high,0.95,4745,0.265,2.461,6.807,0.735,MIXED_MASTER_ONLY,158180
7.629,snare,high,0.95,4763,0.244,2.528,7.833,0.756,MIXED_MASTER_ONLY,158780
8.498,snare,high,0.95,4775,0.118,1.064,7.96,0.882,MIXED_MASTER_ONLY,159180
2.688,snare,high,0.906,4793,0.218,0.843,3.023,0.782,MIXED_MASTER_ONLY,159780
7.141,snare,high,0.95,4799,0.238,2.289,7.326,0.762,MIXED_MASTER_ONLY,159980
7.096,snare,high,0.95,4811,0.274,2.59,6.879,0.726,MIXED_MASTER_ONLY,160380
7.99,snare,high,0.95,4823,0.054,0.412,7.219,0.946,MIXED_MASTER_ONLY,160780
7.422,snare,high,0.95,4841,0.21,2.138,8.033,0.79,MIXED_MASTER_ONLY,161380
7.783,snare,high,0.95,4859,0.251,2.623,7.811,0.749,MIXED_MASTER_ONLY,161980
8.517,snare,high,0.95,4871,0.147,1.314,7.63,0.853,MIXED_MASTER_ONLY,162380
7.145,snare,high,0.95,4895,0.245,2.452,7.564,0.755,MIXED_MASTER_ONLY,163180
3.427,snare,high,0.95,4901,0.067,0.249,3.448,0.933,MIXED_MASTER_ONLY,163380
6.925,snare,high,0.95,4907,0.273,2.501,6.667,0.727,MIXED_MASTER_ONLY,163580
7.987,snare,high,0.95,4919,0.13,1.176,7.855,0.87,MIXED_MASTER_ONLY,163980
6.926,snare,high,0.95,4937,0.277,2.535,6.617,0.723,MIXED_MASTER_ONLY,164580
7.512,snare,high,0.95,4955,0.214,2.27,8.323,0.786,MIXED_MASTER_ONLY,165180
8.31,snare,high,0.95,4967,0.17,1.451,7.092,0.83,MIXED_MASTER_ONLY,165580
